"","fecha","tc_promedio_mes","i_productividad_us","i_ipc_us","i_empleo_arg","i_manuf_arg","i_productividad_arg","i_caba","ipc_arg_b","ipc_us_b","ipt_arg_b","ipt_us_b","tcp_arbitrario","sobrevaluacion","tcp_definitivo"
"39",2005-05-01,2.89094761904762,0.865434633329217,0.794158667651161,0.785879404569562,0.930153897990436,1.18358350222945,NA,NA,5.90911142822587,6.07436150539638,4.00755831282036,NA,NA,NA
"40",2005-06-01,2.88359047619048,0.865645998649946,0.794568873574534,0.790887596811537,0.927508743257242,1.17274407513342,NA,NA,5.91216365520326,6.01873163342823,4.00853707980693,NA,NA,NA
"41",2005-07-01,2.86956666666667,0.865857363970675,0.799491344655017,0.795895789053512,0.929550127878307,1.16792944586846,NA,NA,5.94879037893193,5.9940220978401,4.00951584679349,NA,NA,NA
"42",2005-08-01,2.88801818181818,0.871096878162859,0.804413815735499,0.802496813049696,0.930765846128444,1.15983743610307,NA,NA,5.9854171026606,5.95249246133572,4.03377840556728,NA,NA,NA
"43",2005-09-01,2.91171363636364,0.876336392355044,0.815489375666585,0.809097837045881,0.928688993220585,1.14780802852143,NA,NA,6.06782723105012,5.89075539740318,4.05804096434108,NA,NA,NA
"44",2005-10-01,2.966045,0.881575906547229,0.816719993436705,0.815698861042065,0.959284767545221,1.17602808261829,NA,NA,6.07698391198229,6.03558574520988,4.08230352311488,NA,NA,NA
"45",2005-11-01,2.96721818181818,0.884083324251694,0.81261793420297,0.821158487324998,0.970692490500561,1.18210126971066,NA,NA,6.04646164220839,6.06675442390425,4.09391459375876,NA,NA,NA
"46",2005-12-01,3.01445238095238,0.88659074195616,0.81261793420297,0.82661811360793,0.991473300921997,1.19943331098145,NA,NA,6.04646164220839,6.15570554911588,4.10552566440263,NA,NA,NA
"47",2006-01-01,3.04603636363636,0.889098159660625,0.817540405283452,0.832077739890862,0.926734326466233,1.11375930641744,NA,NA,6.08308836593706,5.71601128643267,4.11713673504651,NA,NA,NA
"48",2006-02-01,3.068905,0.889357493632332,0.817950611206826,0.837334882188065,0.938543540988588,1.12086998995677,NA,NA,6.08614059291445,5.75250458182504,4.11833762991954,NA,NA,NA
"49",2006-03-01,3.07632727272727,0.889616827604039,0.819181228976946,0.842592024485267,0.937888907222386,1.11309967335062,NA,NA,6.09529727384662,5.71262593195517,4.11953852479258,NA,NA,NA
"50",2006-04-01,3.06626666666667,0.889876161575745,0.823283288210682,0.84784916678247,1.00169840686207,1.18145826652569,NA,NA,6.12581954362052,6.06345441694466,4.12073941966561,NA,NA,NA
"51",2006-05-01,3.05348095238095,0.891885415273152,0.825744523750923,0.852299839254139,0.996029891470198,1.16863789666069,NA,NA,6.14413290548485,5.99765799358609,4.13004364790828,NA,NA,NA
"52",2006-06-01,3.08126666666667,0.893894668970559,0.827795553367791,0.856750511725808,1.0033560834543,1.17111816068038,NA,NA,6.1593940403718,6.01038715063841,4.13934787615095,NA,NA,NA
"53",2006-07-01,3.0819619047619,0.895903922667966,0.8323078185249,0.861201184197477,1.02389103306616,1.18891038685727,NA,NA,6.19296853712308,6.10170002681544,4.14865210439363,NA,NA,NA
"54",2006-08-01,3.07897272727273,0.899579955943581,0.835999671835261,0.866199360686303,1.03229094806257,1.19174752939632,NA,NA,6.22043857991959,6.11626074804215,4.16567466987061,NA,NA,NA
"55",2006-09-01,3.10007142857143,0.903255989219196,0.831897612601526,0.871197537175129,1.03974560728221,1.19346711040254,NA,NA,6.18991631014569,6.12508594427876,4.18269723534759,NA,NA,NA
"56",2006-10-01,3.09847619047619,0.90693202249481,0.828205759291164,0.876195713663955,1.04500568390438,1.19266240134241,NA,NA,6.16244626734919,6.120956033944,4.19971980082457,NA,NA,NA
"57",2006-11-01,3.0757380952381,0.912033660004303,0.828615965214538,0.881455655767588,1.04821195203823,1.18918285358942,NA,NA,6.16549849432658,6.10309837465159,4.22334389561208,NA,NA,NA
"58",2006-12-01,3.06026842105263,0.917135297513796,0.833128230371647,0.886715597871221,1.07711478950949,1.21472408074852,NA,NA,6.19907299107786,6.2341805051169,4.24696799039959,NA,NA,NA
"59",2007-01-01,3.08504090909091,0.922236935023289,0.834510624333415,0.891975539974854,0.984888304082231,1.10416514797031,NA,NA,6.20935899599166,5.66677235513791,4.2705920851871,NA,NA,NA
"60",2007-02-01,3.102625,0.92830105925373,0.837747149068833,0.896715659203529,1.00528970819355,1.12107968437448,NA,NA,6.23344106684327,5.75358077095446,4.29867315628567,NA,NA,NA
"61",2007-03-01,3.10104090909091,0.934365183484171,0.842103535975059,0.901455778432205,1.02151218959601,1.13318058859482,NA,NA,6.26585571734314,5.81568476838097,4.32675422738424,NA,NA,NA
"62",2007-04-01,3.08905555555556,0.940429307714612,0.84463040446304,0.906195897660881,1.07132913461783,1.18222686439345,NA,NA,6.28465743552386,6.06739899820339,4.3548352984828,NA,NA,NA
"63",2007-05-01,3.08001428571429,0.94264395124963,0.848121256870949,0.911487968157019,1.08625392640173,1.19173698869342,NA,NA,6.31063188710144,6.11620665127599,4.36509062311033,NA,NA,NA
