"","fecha","tcc","tcp_arbitrario","sobrevaluacion","tcp_definitivo"
"1",2002-01-01,3.37424871302309,NA,NA,NA
"2",2003-01-01,2.94912662271208,NA,NA,NA
"3",2004-01-01,2.9414766188982,NA,NA,NA
"4",2005-01-01,2.92332436507936,NA,NA,NA
"5",2006-01-01,3.07398097412091,NA,NA,NA
"6",2007-01-01,3.11537450517076,NA,NA,NA
"7",2008-01-01,3.16232317077416,NA,NA,NA
"8",2009-01-01,3.72924470855168,NA,NA,NA
"9",2010-01-01,3.91243640464798,NA,NA,NA
"10",2011-01-01,4.12972463383838,NA,NA,NA
"11",2012-01-01,4.5507443447839,5.99269006556329,1.39228101364292,6.552839486507
"12",2013-01-01,5.47582446441974,7.25775224832018,1.4547225562553,7.93614970835423
"13",2014-01-01,8.12450455520113,10.2994269819863,1.38655161300439,11.2621362155514
"14",2015-01-01,9.26823680761247,12.7963251176945,1.51424033652067,13.9924247034337
"15",2016-01-01,14.7774429576783,18.3165066959116,1.35662671368999,20.0285893344556
"16",2017-01-01,16.5567121721602,21.8735753867925,1.44910194050217,23.9181447626207
"17",2018-01-01,28.1124375802511,29.758463468761,1.20819389163361,32.5400500180119
"18",2019-01-01,47.1914171571491,40.8921704833312,1.0473293067595,44.7144481861271
